shopify_product_id,title,handle,shopify_admin_url,inventory_quantity,skus,barcodes,content_updated_at,workflow_class,stone_name,has_story_text,has_stone_description,identity_gate,supplier_match,match_confidence,supplier_orderability,supplier_title,supplier_ref,supplier_url,availability_evidence,checked_at,decision_patrice,decision_notes
10488132469083,Bague Lapis Lazuli Argent,bague-argent-925-modele-02-lapis-lazuli-aa,https://admin.shopify.com/store/milaura-2/products/10488132469083,10,,,,legacy_or_unknown_workflow,Lapis Lazuli,True,True,manual_verification_required,weak_match,0.5057,manual_match_required,BAGUE ARGENT 925 MODÈLE 01 LAPIS LAZULI AA (1 PIÈCE) LOT N°1A0326,3701459041688,https://camille-ambiance-nature.fr/produit/bague-argent-925-modele-01-lapis-lazuli-aa-1-piece-lot-n1a0326,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
10357680439643,Bol Chantant,bol-chantant,https://admin.shopify.com/store/milaura-2/products/10357680439643,5,3667407000711,,,legacy_or_unknown_workflow,,False,False,manual_verification_required,ambiguous,0.6316,manual_match_required,BOL CHANTANT 120MM (1 PIÈCE),3667407009349,https://camille-ambiance-nature.fr/produit/bol-chantant-120mm-1-pi%C3%A8ce,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
10488165728603,Bracelet 7 Chakras Baroque,bracelet-baroque-7-chakras,https://admin.shopify.com/store/milaura-2/products/10488165728603,10,,,,legacy_or_unknown_workflow,Pierres des 7 Chakras,True,True,manual_verification_required,ambiguous,0.6471,manual_match_required,BRACELET BAROQUE 7 CHAKRAS A (LOT 10 PIÈCES),3701459003327,https://camille-ambiance-nature.fr/produit/bracelet-baroque-7-chakras-a-lot-10-pieces,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
10357435629915,Bracelet Baroque Amazonite,bracelet-amazonite,https://admin.shopify.com/store/milaura-2/products/10357435629915,5,3667407009110,,,legacy_or_unknown_workflow,Amazonite,True,False,manual_verification_required,ambiguous,0.7123,manual_match_required,BRACELET BAROQUE AMAZONITE PÉROU A (LOT 5 PIÈCES),3701459066711,https://camille-ambiance-nature.fr/produit/bracelet-baroque-amazonite-perou-a-lot-5-pi%C3%A8ces,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
10357461254491,Bracelet Baroque Unakite,bracelet-unakite,https://admin.shopify.com/store/milaura-2/products/10357461254491,5,3701459010288,,,legacy_or_unknown_workflow,Unakite,True,False,manual_verification_required,title_match,0.75,manual_match_required,BRACELET BAROQUE UNAKITE A (LOT 10 PIÈCES),3701459019564,https://camille-ambiance-nature.fr/produit/bracelet-baroque-unakite-a-lot-10-pi%C3%A8ces,"Supplier page title resembles the Shopify title, but no exact reference or exact supplier handle proves identity. Manual verification required.",2026-09-07,,
10357470429531,Bracelet Calcédoine Bleue,bracelet-calcedoine-bleue-2,https://admin.shopify.com/store/milaura-2/products/10357470429531,5,3701459010769,,,legacy_or_unknown_workflow,,True,False,manual_verification_required,ambiguous,0.7143,manual_match_required,BRACELET BOULE 06MM CALCÉDOINE BLEUE MALAWI A,3701459045105,https://camille-ambiance-nature.fr/produit/bracelet-boule-06mm-calcedoine-bleue-malawi-a,Primary Rupture control observed on the authenticated supplier page.,2026-09-07,,
10357455323483,Bracelet Jaspe,bracelet-jaspe,https://admin.shopify.com/store/milaura-2/products/10357455323483,5,3701459035779,,,legacy_or_unknown_workflow,Jaspe,True,False,manual_verification_required,ambiguous,0.6087,manual_match_required,BRACELET BOULE 06MM JASPE BRUN A,3701459009343,https://camille-ambiance-nature.fr/produit/bracelet-boule-06mm-jaspe-brun-a,Primary Rupture control observed on the authenticated supplier page.,2026-09-07,,
10357478326619,Bracelet Lapis Lazuli,bracelet-lapis-lazuli-1,https://admin.shopify.com/store/milaura-2/products/10357478326619,5,3701459011377,,,legacy_or_unknown_workflow,Lapis Lazuli,True,False,manual_verification_required,title_match,0.7778,manual_match_required,BRACELET ALÉA DORÉ LAPIS LAZULI A,3667407006584,https://camille-ambiance-nature.fr/produit/bracelet-alea-dore-lapis-lazuli-a,"Supplier page title resembles the Shopify title, but no exact reference or exact supplier handle proves identity. Manual verification required.",2026-09-07,,
10357489500507,Bracelet Rhodonite,bracelet-rhodonite,https://admin.shopify.com/store/milaura-2/products/10357489500507,5,3701459091607,,,legacy_or_unknown_workflow,Rhodonite,True,False,manual_verification_required,ambiguous,0.6545,manual_match_required,BRACELET BOULE 08MM RHODONITE PÉROU A,3701459084968,https://camille-ambiance-nature.fr/produit/bracelet-boule-08mm-rhodonite-perou-a,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
10357692629339,Bâton de Sauge Blanche,sauge-blanche,https://admin.shopify.com/store/milaura-2/products/10357692629339,5,3701459086689,,,legacy_or_unknown_workflow,,False,False,manual_verification_required,ambiguous,0.6984,manual_match_required,BÂTON DE SAUGE BLANCHE 100MM (LOT 3 PIÈCES),3701459054749,https://camille-ambiance-nature.fr/produit/b%C3%A2ton-de-sauge-blanche-100mm-lot-3-pi%C3%A8ces,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
10358582051163,Bâton de Sauge Blanche,sauge-blanche-2,https://admin.shopify.com/store/milaura-2/products/10358582051163,5,3701459080298,,,legacy_or_unknown_workflow,,False,False,manual_verification_required,ambiguous,0.6984,manual_match_required,BÂTON DE SAUGE BLANCHE 100MM (LOT 3 PIÈCES),3701459054749,https://camille-ambiance-nature.fr/produit/b%C3%A2ton-de-sauge-blanche-100mm-lot-3-pi%C3%A8ces,Primary Ajouter control observed on the authenticated supplier page.,2026-09-07,,
